EMPLOYEE_HISTORY_CODE,EMPLOYEE_HISTORY_PARENT,EMPLOYEE_CODE,RECORD_START_DATE,RECORD_END_DATE,POSITION_CODE,POSITION_START_DATE,MANAGER_CODE,MANAGER,MANAGER_MB,BRANCH_CODE,ORGANIZATION_CODE
30050,30034,10070,2018-03-24 00:00:00.0,,4800,2018-03-24 00:00:00.0,10054,Alan Wilcox,Alan Wilcox,19,1810
30051,30382,10071,2019-02-17 00:00:00.0,,5300,2019-02-17 00:00:00.0,10405,Donald Gardner,Donald Gardner,21,1800
30052,30345,10072,2013-04-10 00:00:00.0,,4500,2013-04-10 00:00:00.0,10368,Maria Boscolo,Maria Boscolo,19,1810
30053,30041,10073,2016-04-18 00:00:00.0,,5500,2016-04-18 00:00:00.0,10061,Julie Olsen,Julie Olsen,22,022
30054,30045,10074,2012-07-13 00:00:00.0,,5700,2012-07-13 00:00:00.0,10065,Corey Wright,Corey Wright,21,021
30941,30649,10075,2017-01-26 00:00:00.0,2018-02-22 00:00:00.0,5400,2017-01-26 00:00:00.0,10683,Dominique Morel,Dominique Morel,23,023
30055,30439,10075,2018-02-23 00:00:00.0,,5400,2017-01-26 00:00:00.0,10462,Sandrine Nuissier,Sandrine Nuissier,23,023
30056,30620,10076,2018-03-07 00:00:00.0,,3800,2018-03-07 00:00:00.0,10644,Johanna Muller,Johanna Muller,14,6730
30987,30648,10077,2015-06-26 00:00:00.0,2017-01-25 00:00:00.0,5600,2015-06-26 00:00:00.0,10682,David Fournier,David Fournier,23,023
30057,30055,10077,2017-01-26 00:00:00.0,,5600,2015-06-26 00:00:00.0,10075,Julie Béchard,Julie Béchard,23,023
30942,30649,10078,2016-01-13 00:00:00.0,2018-02-22 00:00:00.0,5400,2016-01-13 00:00:00.0,10683,Dominique Morel,Dominique Morel,6,006
30058,30439,10078,2018-02-23 00:00:00.0,,5400,2016-01-13 00:00:00.0,10462,Sandrine Nuissier,Sandrine Nuissier,6,006
30059,30105,10079,2016-09-08 00:00:00.0,,5700,2016-09-08 00:00:00.0,10128,Gepetto Perez,Gepetto Perez,24,024
30768,30105,10080,2017-04-16 00:00:00.0,2020-02-20 00:00:00.0,5600,2017-04-16 00:00:00.0,10128,Gepetto Perez,Gepetto Perez,24,024
30853,30676,10092,2018-08-12 00:00:00.0,2020-01-24 00:00:00.0,5500,2018-08-12 00:00:00.0,10710,Karen Donnelly,Karen Donnelly,28,028
30069,30066,10092,2020-01-25 00:00:00.0,,5500,2018-08-12 00:00:00.0,10089,Alice Walter,Alice Walter,28,028
30854,30676,10093,2019-04-25 00:00:00.0,2020-01-24 00:00:00.0,5600,2019-04-25 00:00:00.0,10710,Karen Donnelly,Karen Donnelly,28,028
30070,30066,10093,2020-01-25 00:00:00.0,,5600,2019-04-25 00:00:00.0,10089,Alice Walter,Alice Walter,28,028
30770,30660,10094,2016-02-10 00:00:00.0,2017-11-15 00:00:00.0,5600,2016-02-10 00:00:00.0,10694,Bautista Fernandez,Bautista Fernandez,29,029
30894,30660,10094,2017-11-16 00:00:00.0,2018-11-20 00:00:00.0,5700,2017-11-16 00:00:00.0,10694,Bautista Fernandez,Bautista Fernandez,29,029
30071,30463,10094,2018-11-21 00:00:00.0,,5700,2017-11-16 00:00:00.0,10487,Clara Bordoy,Clara Bordoy,29,029
30895,30660,10095,2016-12-04 00:00:00.0,2018-11-20 00:00:00.0,5700,2016-12-04 00:00:00.0,10694,Bautista Fernandez,Bautista Fernandez,29,029
30072,30463,10095,2018-11-21 00:00:00.0,,5700,2016-12-04 00:00:00.0,10487,Clara Bordoy,Clara Bordoy,29,029
30883,30637,10096,2017-03-05 00:00:00.0,2019-02-16 00:00:00.0,5400,2017-03-05 00:00:00.0,10671,Nicole Steinberg,Nicole Steinberg,30,030
30073,30051,10096,2019-02-17 00:00:00.0,,5400,2017-03-05 00:00:00.0,10071,Estelle Johnson,Estelle Johnson,30,030
30074,30343,10097,2015-11-04 00:00:00.0,,4100,2015-11-04 00:00:00.0,10366,Dale Thomas,Dale Thomas,30,1750
30979,30632,10098,2016-04-21 00:00:00.0,2017-03-04 00:00:00.0,5700,2016-04-21 00:00:00.0,10666,Catarina Couto,Catarina Couto,30,030
30075,30073,10098,2017-03-05 00:00:00.0,,5700,2016-04-21 00:00:00.0,10096,Bayard Lopes,Bayard Lopes,30,030
30076,30416,10099,2016-01-06 00:00:00.0,,5700,2016-01-06 00:00:00.0,10439,Petri Eskola,Petri Eskola,31,031
30077,30416,10100,2014-04-16 00:00:00.0,,5600,2014-04-16 00:00:00.0,10439,Petri Eskola,Petri Eskola,31,031
30888,30673,10101,2015-07-30 00:00:00.0,2018-12-29 00:00:00.0,5700,2015-07-30 00:00:00.0,10707,Hye-Yul Gang,혜율 강,32,032
30078,30561,10101,2018-12-30 00:00:00.0,,5700,2015-07-30 00:00:00.0,10585,Mal-Su Jung,말수 정,32,032
30889,30673,10102,2015-04-16 00:00:00.0,2018-12-29 00:00:00.0,5700,2015-04-16 00:00:00.0,10707,Hye-Yul Gang,혜율 강,32,032
30079,30561,10102,2018-12-30 00:00:00.0,,5700,2015-04-16 00:00:00.0,10585,Mal-Su Jung,말수 정,32,032
30946,30677,10103,2014-01-08 00:00:00.0,2018-02-17 00:00:00.0,5400,2014-01-08 00:00:00.0,10711,David Dolby,David Dolby,33,033
30080,30498,10103,2018-02-18 00:00:00.0,,5400,2014-01-08 00:00:00.0,10522,Doris Berger,Doris Berger,33,033
30081,30080,10104,2016-05-15 00:00:00.0,,5700,2016-05-15 00:00:00.0,10103,Kwei-Ping Kao,奎平 高,33,033
30082,30522,10105,2015-06-17 00:00:00.0,,5600,2015-06-17 00:00:00.0,10546,Cai Zhang,財 張,34,034
30120,30415,10143,2020-07-02 00:00:00.0,,5300,2020-07-02 00:00:00.0,10438,Marko Wainio,Marko Wainio,15,5800
30121,30017,10144,2016-03-31 00:00:00.0,,5700,2014-12-25 00:00:00.0,10025,Kick Kalkman,Kick Kalkman,9,009
30122,30085,10145,2012-01-26 00:00:00.0,,1200,2012-01-26 00:00:00.0,10108,Penelope Tamrine,Penelope Tamrine,6,6700
30123,30130,10146,2020-03-05 00:00:00.0,,3400,2020-03-05 00:00:00.0,10153,Philippe Lavolier,Philippe Lavolier,23,6760
30124,30421,10147,2012-05-17 00:00:00.0,,1400,2012-05-17 00:00:00.0,10444,Steven Henderson,Steven Henderson,6,6760
30125,30122,10148,2012-06-21 00:00:00.0,,1700,2012-06-21 00:00:00.0,10145,Sébastien Pascal,Sébastien Pascal,14,6720
30126,30122,10149,2012-05-13 00:00:00.0,,1800,2012-05-13 00:00:00.0,10145,Sébastien Pascal,Sébastien Pascal,14,6800
30127,30422,10150,2013-07-20 00:00:00.0,,2100,2013-07-20 00:00:00.0,10445,Ian Roberts,Ian Roberts,6,6740
30128,30422,10151,2018-11-15 00:00:00.0,,2200,2018-11-15 00:00:00.0,10445,Ian Roberts,Ian Roberts,38,6740
30129,30005,10152,2018-01-06 00:00:00.0,,5400,2018-01-06 00:00:00.0,10013,Else Mörike,Else Mörike,37,037
30776,30647,10153,2016-05-23 00:00:00.0,2018-06-09 00:00:00.0,3300,2016-05-23 00:00:00.0,10681,Daniel Bertrand,Daniel Bertrand,6,6760
30130,30124,10153,2018-06-10 00:00:00.0,,3100,2018-06-10 00:00:00.0,10147,Vincent Mercier,Vincent Mercier,6,6760
30138,30136,10161,2020-05-14 00:00:00.0,,5100,2020-05-14 00:00:00.0,10159,Isaac Brule,Isaac Brule,37,6820
30880,30662,10162,2015-10-14 00:00:00.0,2019-02-28 00:00:00.0,5100,2015-10-14 00:00:00.0,10696,Olivier Bernardin,Olivier Bernardin,6,6820
30139,30136,10162,2019-03-01 00:00:00.0,,5100,2015-10-14 00:00:00.0,10159,Isaac Brule,Isaac Brule,6,6820
30140,30129,10163,2020-04-27 00:00:00.0,,5700,2020-04-27 00:00:00.0,10152,Werner Reiter,Werner Reiter,37,037
30141,30055,10164,2017-05-03 00:00:00.0,,5500,2017-05-03 00:00:00.0,10075,Julie Béchard,Julie Béchard,23,023
30939,30650,10165,2015-01-30 00:00:00.0,2018-03-21 00:00:00.0,5500,2015-01-30 00:00:00.0,10684,Amalie Kunze,Amalie Kunze,13,013
30142,30004,10165,2018-03-22 00:00:00.0,,5500,2015-01-30 00:00:00.0,10012,Elsbeth Wiesinger,Elsbeth Wiesinger,13,013
30143,30085,10166,2013-05-01 00:00:00.0,,1200,2013-05-01 00:00:00.0,10108,Penelope Tamrine,Penelope Tamrine,7,7700
30144,30421,10167,2013-07-24 00:00:00.0,,1300,2013-07-24 00:00:00.0,10444,Steven Henderson,Steven Henderson,7,7740
30145,30143,10168,2013-08-31 00:00:00.0,,1600,2013-08-31 00:00:00.0,10166,Stefano Bruno,Stefano Bruno,7,7750
30146,30143,10169,2013-07-17 00:00:00.0,,1700,2013-07-17 00:00:00.0,10166,Stefano Bruno,Stefano Bruno,39,7720
30147,30433,10170,2017-11-24 00:00:00.0,,4800,2017-11-24 00:00:00.0,10456,Jeanne Bertrand,Jeanne Bertrand,38,6810
30777,30658,10183,2016-05-20 00:00:00.0,2019-05-07 00:00:00.0,5100,2016-05-20 00:00:00.0,10692,Emil Jever,Emil Jever,39,7820
30778,30656,10183,2019-05-08 00:00:00.0,2020-04-19 00:00:00.0,5000,2019-05-08 00:00:00.0,10690,Earnest Wagner,Earnest Wagner,39,7820
30160,30268,10183,2020-04-20 00:00:00.0,,4900,2020-04-20 00:00:00.0,10291,Isabel Torres,Isabel Torres,39,7820
30840,30658,10184,2017-08-16 00:00:00.0,2019-05-07 00:00:00.0,5100,2017-08-16 00:00:00.0,10692,Emil Jever,Emil Jever,39,7820
30839,30778,10184,2019-05-08 00:00:00.0,2020-04-19 00:00:00.0,5100,2017-08-16 00:00:00.0,10183,Otto Kunstler,Otto Kunstler,39,7820
30161,30160,10184,2020-04-20 00:00:00.0,,5000,2020-04-20 00:00:00.0,10183,Otto Kunstler,Otto Kunstler,39,7820
30162,30156,10185,2016-05-30 00:00:00.0,,4000,2015-09-12 00:00:00.0,10179,Giorgio Giordano,Giorgio Giordano,7,7730
30847,30778,10186,2019-07-31 00:00:00.0,2020-04-19 00:00:00.0,5100,2019-07-31 00:00:00.0,10183,Otto Kunstler,Otto Kunstler,7,7820
30163,30161,10186,2020-04-20 00:00:00.0,,5100,2019-07-31 00:00:00.0,10184,Paul Muller,Paul Muller,7,7820
30845,30778,10187,2019-05-17 00:00:00.0,2020-04-19 00:00:00.0,5100,2019-05-17 00:00:00.0,10183,Otto Kunstler,Otto Kunstler,29,7820
30164,30161,10187,2020-04-20 00:00:00.0,,5100,2019-05-17 00:00:00.0,10184,Paul Muller,Paul Muller,29,7820
30165,30004,10188,2020-06-04 00:00:00.0,,5700,2020-06-04 00:00:00.0,10012,Elsbeth Wiesinger,Elsbeth Wiesinger,13,013
30184,30478,10207,2014-09-28 00:00:00.0,,4400,2014-09-28 00:00:00.0,10502,Julia Schulz,Julia Schulz,40,8720
30986,30665,10208,2015-03-01 00:00:00.0,2017-02-15 00:00:00.0,2400,2015-03-01 00:00:00.0,10699,Alfred Durand,Alfred Durand,40,8740
30781,30179,10208,2017-02-16 00:00:00.0,2017-10-11 00:00:00.0,2400,2015-03-01 00:00:00.0,10202,Patrick Lioutau,Patrick Lioutau,40,8740
30185,30179,10208,2017-10-12 00:00:00.0,,2500,2017-10-12 00:00:00.0,10202,Patrick Lioutau,Patrick Lioutau,40,8740
30984,30665,10209,2015-12-10 00:00:00.0,2017-02-15 00:00:00.0,2400,2015-12-10 00:00:00.0,10699,Alfred Durand,Alfred Durand,40,8740
30186,30179,10209,2017-02-16 00:00:00.0,,2400,2015-12-10 00:00:00.0,10202,Patrick Lioutau,Patrick Lioutau,40,8740
30985,30665,10210,2015-10-22 00:00:00.0,2017-02-15 00:00:00.0,2500,2015-10-22 00:00:00.0,10699,Alfred Durand,Alfred Durand,40,8740
30187,30179,10210,2017-02-16 00:00:00.0,,2500,2015-10-22 00:00:00.0,10202,Patrick Lioutau,Patrick Lioutau,40,8740
30188,30179,10211,2019-03-16 00:00:00.0,,2500,2019-03-16 00:00:00.0,10202,Patrick Lioutau,Patrick Lioutau,40,8740
30828,30666,10212,2018-05-30 00:00:00.0,2020-06-26 00:00:00.0,3200,2018-05-30 00:00:00.0,10700,Amaury Moreau,Amaury Moreau,40,8760
30189,30300,10212,2020-06-27 00:00:00.0,,3200,2018-05-30 00:00:00.0,10323,Aaghie Heiman,Aaghie Heiman,40,8760
30190,30470,10213,2020-03-26 00:00:00.0,,3600,2020-03-26 00:00:00.0,10494,Jennifer Chambers,Jennifer Chambers,40,8710
30330,30463,10353,2020-04-09 00:00:00.0,,5500,2020-04-09 00:00:00.0,10487,Clara Bordoy,Clara Bordoy,29,029
30915,30669,10354,2017-06-14 00:00:00.0,2018-10-09 00:00:00.0,5500,2017-06-14 00:00:00.0,10703,Tresa Seefelder,Tresa Seefelder,40,040
30331,30322,10354,2018-10-10 00:00:00.0,,5500,2017-06-14 00:00:00.0,10345,Ulla Blackmore,Ulla Blackmore,40,040
30332,30322,10355,2019-11-09 00:00:00.0,,5500,2019-11-09 00:00:00.0,10345,Ulla Blackmore,Ulla Blackmore,40,040
30916,30669,10356,2016-12-23 00:00:00.0,2018-10-09 00:00:00.0,5500,2016-12-23 00:00:00.0,10703,Tresa Seefelder,Tresa Seefelder,40,040
30333,30322,10356,2018-10-10 00:00:00.0,,5500,2016-12-23 00:00:00.0,10345,Ulla Blackmore,Ulla Blackmore,40,040
30917,30669,10357,2015-04-23 00:00:00.0,2018-10-09 00:00:00.0,5600,2015-04-23 00:00:00.0,10703,Tresa Seefelder,Tresa Seefelder,40,040
30334,30322,10357,2018-10-10 00:00:00.0,,5600,2015-04-23 00:00:00.0,10345,Ulla Blackmore,Ulla Blackmore,40,040
30918,30669,10358,2017-01-23 00:00:00.0,2018-10-09 00:00:00.0,5700,2017-01-23 00:00:00.0,10703,Tresa Seefelder,Tresa Seefelder,40,040
30335,30322,10358,2018-10-10 00:00:00.0,,5700,2017-01-23 00:00:00.0,10345,Ulla Blackmore,Ulla Blackmore,40,040
30919,30669,10359,2018-01-10 00:00:00.0,2018-10-09 00:00:00.0,5500,2018-01-10 00:00:00.0,10703,Tresa Seefelder,Tresa Seefelder,40,040
30336,30322,10359,2018-10-10 00:00:00.0,,5500,2018-01-10 00:00:00.0,10345,Ulla Blackmore,Ulla Blackmore,40,040
30969,30636,10388,2014-03-26 00:00:00.0,2017-07-22 00:00:00.0,3600,2014-03-26 00:00:00.0,10670,Antonio Alvarez,Antonio Alvarez,17,1710
30365,30364,10388,2017-07-23 00:00:00.0,,3600,2014-03-26 00:00:00.0,10387,Luis Nuñez,Luis Nuñez,17,1710
30798,30374,10389,2014-10-02 00:00:00.0,2018-08-18 00:00:00.0,4800,2014-10-02 00:00:00.0,10397,Roberto Oliveira,Roberto Oliveira,30,1810
30366,30374,10389,2018-08-19 00:00:00.0,,5800,2018-08-19 00:00:00.0,10397,Roberto Oliveira,Roberto Oliveira,30,1810
30367,30365,10390,2014-12-04 00:00:00.0,,3700,2014-12-04 00:00:00.0,10388,Amy Scott,Amy Scott,17,1710
30368,30023,10391,2016-01-27 00:00:00.0,,4000,2016-01-27 00:00:00.0,10043,Martine Vachon,Martine Vachon,17,1730
30879,30074,10392,2012-04-13 00:00:00.0,2019-03-02 00:00:00.0,4200,2012-04-13 00:00:00.0,10097,Viviam Barros,Viviam Barros,17,1750
30369,30047,10392,2019-03-03 00:00:00.0,,4200,2012-04-13 00:00:00.0,10067,Lowell Johnson,Lowell Johnson,17,1750
30799,30638,10393,2017-01-13 00:00:00.0,2018-09-25 00:00:00.0,4400,2017-01-13 00:00:00.0,10672,Monica Squires,Monica Squires,20,1720
30370,30344,10393,2018-09-26 00:00:00.0,,4300,2018-09-26 00:00:00.0,10367,Diane Peterson,Diane Peterson,20,1720
30371,30344,10394,2015-12-27 00:00:00.0,,4300,2015-12-27 00:00:00.0,10367,Diane Peterson,Diane Peterson,30,1720
30927,30638,10395,2017-03-02 00:00:00.0,2018-09-25 00:00:00.0,4400,2017-03-02 00:00:00.0,10672,Monica Squires,Monica Squires,24,1720
30405,30115,10428,2019-06-07 00:00:00.0,,4200,2019-06-07 00:00:00.0,10138,Eduwart Adams,Eduwart Adams,31,5750
30406,30390,10429,2019-02-16 00:00:00.0,,4300,2019-02-16 00:00:00.0,10413,Agnietje Visser,Agnietje Visser,31,5720
30407,30390,10430,2016-09-29 00:00:00.0,,4300,2016-09-29 00:00:00.0,10413,Agnietje Visser,Agnietje Visser,15,5720
30803,30641,10431,2015-06-04 00:00:00.0,2019-01-19 00:00:00.0,4700,2015-06-04 00:00:00.0,10675,Gabriella Lindgren,Gabriella Lindgren,15,5810
30408,30107,10431,2019-01-20 00:00:00.0,,4500,2019-01-20 00:00:00.0,10130,Aron Adelsvärd,Aron Adelsvärd,15,5810
30409,30408,10432,2020-03-01 00:00:00.0,,4600,2020-03-01 00:00:00.0,10431,Frans Vreede,Frans Vreede,9,5810
30410,30391,10433,2020-03-19 00:00:00.0,,2200,2020-03-19 00:00:00.0,10414,Kaarlo Laine,Kaarlo Laine,9,5740
30885,30803,10434,2018-05-16 00:00:00.0,2019-01-19 00:00:00.0,4800,2018-05-16 00:00:00.0,10431,Frans Vreede,Frans Vreede,15,5810
30920,30669,10360,2018-04-15 00:00:00.0,2018-10-09 00:00:00.0,5600,2018-04-15 00:00:00.0,10703,Tresa Seefelder,Tresa Seefelder,40,040
30337,30322,10360,2018-10-10 00:00:00.0,,5600,2018-04-15 00:00:00.0,10345,Ulla Blackmore,Ulla Blackmore,40,040
30921,30669,10361,2018-04-26 00:00:00.0,2018-10-09 00:00:00.0,5600,2018-04-26 00:00:00.0,10703,Tresa Seefelder,Tresa Seefelder,40,040
30338,30322,10361,2018-10-10 00:00:00.0,,5600,2018-04-26 00:00:00.0,10345,Ulla Blackmore,Ulla Blackmore,40,040
30925,30669,10362,2014-02-26 00:00:00.0,2018-10-09 00:00:00.0,5500,2014-02-26 00:00:00.0,10703,Tresa Seefelder,Tresa Seefelder,40,040
30793,30322,10362,2018-10-10 00:00:00.0,2019-06-02 00:00:00.0,5500,2014-02-26 00:00:00.0,10345,Ulla Blackmore,Ulla Blackmore,40,040
30339,30322,10362,2019-06-03 00:00:00.0,,5600,2019-06-03 00:00:00.0,10345,Ulla Blackmore,Ulla Blackmore,40,040
30926,30669,10363,2016-11-24 00:00:00.0,2018-10-09 00:00:00.0,5600,2016-11-24 00:00:00.0,10703,Tresa Seefelder,Tresa Seefelder,40,040
30794,30322,10363,2018-10-10 00:00:00.0,2019-09-18 00:00:00.0,5600,2016-11-24 00:00:00.0,10345,Ulla Blackmore,Ulla Blackmore,40,040
30340,30322,10363,2019-09-19 00:00:00.0,,5700,2019-09-19 00:00:00.0,10345,Ulla Blackmore,Ulla Blackmore,40,040
30341,30421,10364,2009-07-22 00:00:00.0,,1300,2009-07-22 00:00:00.0,10444,Steven Henderson,Steven Henderson,17,1740
30342,30421,10365,2010-07-15 00:00:00.0,,1400,2010-07-15 00:00:00.0,10444,Steven Henderson,Steven Henderson,17,1760
30544,30554,10568,2016-06-06 00:00:00.0,,3800,2016-06-06 00:00:00.0,10578,Daichi Tanaka,大地 田中,25,4730
30545,30541,10569,2019-03-27 00:00:00.0,,5500,2019-03-27 00:00:00.0,10565,Kenzo Inoue,三健 井上,26,026
30546,30535,10570,2016-05-12 00:00:00.0,,5600,2016-05-12 00:00:00.0,10559,Masao Hayashi,正男 林,25,025
30547,30541,10571,2018-03-15 00:00:00.0,,5600,2018-03-15 00:00:00.0,10565,Kenzo Inoue,三健 井上,26,026
30548,30541,10572,2016-01-09 00:00:00.0,,5700,2016-01-09 00:00:00.0,10565,Kenzo Inoue,三健 井上,26,026
30549,30555,10573,2019-08-08 00:00:00.0,,4200,2019-08-08 00:00:00.0,10579,Kaori Takahashi,香 高橋,25,4750
30550,30507,10574,2020-01-22 00:00:00.0,,3700,2020-01-22 00:00:00.0,10531,Keith Abbott,Keith Abbott,26,4710
30551,30628,10575,2018-07-01 00:00:00.0,,4400,2018-07-01 00:00:00.0,10652,Saburo Tanaka,三郎 田中,26,4720
30552,30531,10576,2016-03-04 00:00:00.0,,5200,2016-03-04 00:00:00.0,10555,An Li,安 李,26,4800
30553,30629,10577,2014-02-14 00:00:00.0,,2200,2014-02-14 00:00:00.0,10653,Meifeng Toh,美鳳 桌,25,4740
30066,30498,10089,2020-01-25 00:00:00.0,,5400,2020-01-25 00:00:00.0,10522,Doris Berger,Doris Berger,28,028
30851,30676,10090,2018-08-04 00:00:00.0,2020-01-24 00:00:00.0,5500,2018-08-04 00:00:00.0,10710,Karen Donnelly,Karen Donnelly,28,028
30067,30066,10090,2020-01-25 00:00:00.0,,5500,2018-08-04 00:00:00.0,10089,Alice Walter,Alice Walter,28,028
30852,30676,10091,2018-01-06 00:00:00.0,2020-01-24 00:00:00.0,5600,2018-01-06 00:00:00.0,10710,Karen Donnelly,Karen Donnelly,28,028
30068,30066,10091,2020-01-25 00:00:00.0,,5600,2018-01-06 00:00:00.0,10089,Alice Walter,Alice Walter,28,028
30110,30109,10133,2019-11-14 00:00:00.0,,3200,2019-11-14 00:00:00.0,10132,Christiaan Cabrera,Christiaan Cabrera,15,5760
30111,30400,10134,2015-05-09 00:00:00.0,,3600,2015-05-09 00:00:00.0,10423,Martijn Buren,Martijn Buren,15,5710
30112,30400,10135,2020-03-19 00:00:00.0,,3700,2020-03-19 00:00:00.0,10423,Martijn Buren,Martijn Buren,15,5710
30113,30114,10136,2017-10-29 00:00:00.0,,3900,2017-10-29 00:00:00.0,10137,Axel Armfelt,Axel Armfelt,9,5730
30775,30388,10137,2014-09-19 00:00:00.0,2017-07-11 00:00:00.0,3900,2014-09-19 00:00:00.0,10411,Katrien Smit,Katrien Smit,15,5730
30114,30388,10137,2017-07-12 00:00:00.0,,3800,2017-07-12 00:00:00.0,10411,Katrien Smit,Katrien Smit,15,5730
30115,30389,10138,2016-04-17 00:00:00.0,,4100,2016-04-17 00:00:00.0,10412,Aert Meyer,Aert Meyer,9,5750
30116,30407,10139,2018-09-13 00:00:00.0,,4400,2018-09-13 00:00:00.0,10430,Kim Lindgren,Kim Lindgren,15,5720
30117,30390,10140,2015-02-13 00:00:00.0,,4400,2015-02-13 00:00:00.0,10413,Agnietje Visser,Agnietje Visser,9,5720
30118,30413,10141,2019-04-12 00:00:00.0,,5000,2019-04-12 00:00:00.0,10436,Joki Virtanen,Joki Virtanen,15,5820
